taxon_id	species_name	rank	total_reads	hits_vs_cjejuni	hit_rate_%	avg_pident_%	max_pident_%	avg_query_coverage_%	avg_bitscore	min_evalue
375175	Loigolactobacillus backii	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
536979	Chitinophaga niabensis	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
2589076	Paracoccus sp. AK26	S	12	0	0.0	0.0	0.0	0.0	0.0	N/A
2914710	Sphaerotilus microaerophilus	S	22	0	0.0	0.0	0.0	0.0	0.0	N/A
407	Methylobacterium	G	25	0	0.0	0.0	0.0	0.0	0.0	N/A
408	Methylorubrum extorquens	S	8	0	0.0	0.0	0.0	0.0	0.0	N/A
162209	Paenibacillus naphthalenovorans	S	52	0	0.0	0.0	0.0	0.0	0.0	N/A
94625	Brucella intermedia	S	10	0	0.0	0.0	0.0	0.0	0.0	N/A
1855912	Luteitalea pratensis	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1561003	Candidatus Ichthyocystis hellenicum	S	12	0	0.0	0.0	0.0	0.0	0.0	N/A
184748	Paracoccus seriniphilus	S	19	0	0.0	0.0	0.0	0.0	0.0	N/A
108980	Acinetobacter ursingii	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
3060154	Diaphorobacter sp. C33	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
444	Legionellaceae	F	14	0	0.0	0.0	0.0	0.0	0.0	N/A
186817	Bacillaceae	F	2	0	0.0	0.0	0.0	0.0	0.0	N/A
371142	Sphingobacterium daejeonense	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
68042	Streptomyces hygroscopicus subsp. hygroscopicus	S1	9	0	0.0	0.0	0.0	0.0	0.0	N/A
51665	Aerococcus urinaeequi	S	20	0	0.0	0.0	0.0	0.0	0.0	N/A
470	Acinetobacter baumannii	S	35	0	0.0	0.0	0.0	0.0	0.0	N/A
1219032	Comamonas terrigena NBRC 13299	S1	14	0	0.0	0.0	0.0	0.0	0.0	N/A
478	Moraxella nonliquefaciens	S	9	0	0.0	0.0	0.0	0.0	0.0	N/A
3064287	Mycolicibacter sp. MU0083	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1501662	Streptococcus parasuis	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
481	Neisseriaceae	F	10	0	0.0	0.0	0.0	0.0	0.0	N/A
2789857	Synechococcus sp. CBW1107	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
482	Neisseria	G	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1163748	Marinobacter nauticus ATCC 49840	S1	25	0	0.0	0.0	0.0	0.0	0.0	N/A
490	Neisseria sicca	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
